INFO 2026-01-27 00:21:43,907 autoreload Watching for file changes with StatReloader
DEBUG 2026-01-27 00:21:43,909 autoreload Waiting for apps ready_event.
DEBUG 2026-01-27 00:21:43,963 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2026-01-27 00:21:44,041 autoreload Watching dir /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/crispy_bootstrap5/templates with glob **/*.
DEBUG 2026-01-27 00:21:44,041 autoreload Watching dir /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/templates with glob **/*.
DEBUG 2026-01-27 00:21:44,041 autoreload Watching dir /Users/branko/Desktop/barter_app/templates with glob **/*.
DEBUG 2026-01-27 00:21:44,041 autoreload Watching dir /Users/branko/Desktop/barter_app/locale with glob **/*.mo.
DEBUG 2026-01-27 00:21:44,042 autoreload Watching dir /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/locale with glob **/*.mo.
DEBUG 2026-01-27 00:21:44,042 autoreload Watching dir /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/account/locale with glob **/*.mo.
DEBUG 2026-01-27 00:21:44,042 autoreload Watching dir /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/socialaccount/locale with glob **/*.mo.
DEBUG 2026-01-27 00:21:44,042 autoreload Watching dir /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo.
DEBUG 2026-01-27 00:21:44,042 autoreload Watching dir /Users/branko/Desktop/barter_app/core/locale with glob **/*.mo.
DEBUG 2026-01-27 00:21:44,042 autoreload Watching dir /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/crispy_forms/locale with glob **/*.mo.
DEBUG 2026-01-27 00:21:44,042 autoreload Watching dir /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/crispy_bootstrap5/locale with glob **/*.mo.
System check identified some issues:

WARNINGS:
?: (account.W001) ACCOUNT_LOGIN_METHODS conflicts with ACCOUNT_SIGNUP_FIELDS

System check identified 1 issue (0 silenced).
DEBUG 2026-01-27 00:21:44,114 utils (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2026-01-27 00:21:44,119 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2026-01-27 00:21:44,331 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/importlib/metadata/_collections.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,331 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/urllib3/util/connection.py first seen with mtime 1769460188.6816764
DEBUG 2026-01-27 00:21:44,331 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/files/uploadhandler.py first seen with mtime 1769459622.8006053
DEBUG 2026-01-27 00:21:44,331 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/encodings/aliases.py first seen with mtime 1696254875.0
DEBUG 2026-01-27 00:21:44,331 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/PIL/_typing.py first seen with mtime 1769459618.896924
DEBUG 2026-01-27 00:21:44,332 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/contrib/sites/models.py first seen with mtime 1769459622.638762
DEBUG 2026-01-27 00:21:44,332 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/cryptography/hazmat/bindings/_rust.abi3.so first seen with mtime 1769460278.6159358
DEBUG 2026-01-27 00:21:44,332 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/core/files/base.py first seen with mtime 1769459622.7973313
DEBUG 2026-01-27 00:21:44,332 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/allauth/socialaccount/signals.py first seen with mtime 1769459714.4346623
DEBUG 2026-01-27 00:21:44,332 autoreload File /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/lzma.py first seen with mtime 1696254874.0
DEBUG 2026-01-27 00:21:44,332 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/django/db/backends/base/client.py first seen with mtime 1769459622.8401287
DEBUG 2026-01-27 00:21:44,332 autoreload File /Users/branko/Desktop/barter_app/.venv/lib/python3.12/site-packages/PIL/__init__.py first seen with mtime 1769459618.926834
